date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:34:42	125758/125758	---M--	200	added ('OK')	image/jpeg	etag:%225bc62a38-1eb3e%22	http://vongtaygotram.fastbuy.biz/assets/img/bg1.jpg	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/img/bg1.jpg	(from http://vongtaygotram.fastbuy.biz/assets/css/styles.css?ver=3)
17:34:43	3399/3399	---M--	200	added ('OK')	image/png	etag:%225bc62a38-d47%22	http://vongtaygotram.fastbuy.biz/assets/img/box.png	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/img/box.png	(from http://vongtaygotram.fastbuy.biz/assets/css/styles.css?ver=3)
17:34:51	291/291	---M--	200	added ('OK')	image/png	etag:%227119bf91c973ae641a87251235b8fdd0%22	https://d1qgok7w0wzph.cloudfront.net/vongtay-gosua/vongtay-gosua-2/sao.png	D:/CPO/vong-tram/main/1/d1qgok7w0wzph.cloudfront.net/vongtay-gosua/vongtay-gosua-2/sao.png	(from http://vongtaygotram.fastbuy.biz/assets/css/styles.css?ver=3)
17:34:54	107631/107631	---M--	200	added ('OK')	image/jpeg	etag:%225bc62a38-1a46f%22	http://vongtaygotram.fastbuy.biz/assets/img/bg7.jpg	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/img/bg7.jpg	(from http://vongtaygotram.fastbuy.biz/assets/css/styles.css?ver=3)
17:34:54	139714/139714	---M--	200	added ('OK')	image/jpeg	etag:%225bc62a38-221c2%22	http://vongtaygotram.fastbuy.biz/assets/img/bg5.jpg	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/img/bg5.jpg	(from http://vongtaygotram.fastbuy.biz/assets/css/styles.css?ver=3)
17:34:55	273560/273560	---M--	200	added ('OK')	application/octet-stream	etag:%225bdde52e-42c98%22	http://vongtaygotram.fastbuy.biz/assets/fonts/iCiel-Altus.ttf	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/fonts/iCiel-Altus.ttf	(from http://vongtaygotram.fastbuy.biz/assets/css/styles.css?ver=3)
17:34:56	2455/2455	---M--	200	added ('OK')	image/png	etag:%22024f3fcd6ba016f4afa97a6370bfbb6e%22	https://d1qgok7w0wzph.cloudfront.net/vongtay-gosua/vongtay-gosua-2/circle.png	D:/CPO/vong-tram/main/1/d1qgok7w0wzph.cloudfront.net/vongtay-gosua/vongtay-gosua-2/circle.png	(from http://vongtaygotram.fastbuy.biz/assets/css/styles.css?ver=3)
17:34:58	23347/23347	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Nov%202018%2010:34:57%20GMT	http://vongtaygotram.fastbuy.biz/POST	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/POST.html	(from https://connect.facebook.net/en_US/fbevents.js)
17:35:00	23347/23347	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Nov%202018%2010:34:58%20GMT	http://vongtaygotram.fastbuy.biz/schema.org/	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
17:35:00	23347/23347	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Nov%202018%2010:34:58%20GMT	http://vongtaygotram.fastbuy.biz/f.location.href	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/f.location.html	(from https://connect.facebook.net/en_US/fbevents.js)
17:35:02	23347/23347	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Nov%202018%2010:35:01%20GMT	http://vongtaygotram.fastbuy.biz/a.domain_uri	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/a.html	(from https://connect.facebook.net/en_US/fbevents.js)
